x,y,z
-191.84422,-234.66669,609.0
-191.84422,-236.8,609.0
-186.17395,-236.01184,591.0
-185.54393,-237.27644,589.0
-184.59888,-238.12065,586.0
-189.08958,-233.89601,607.0
-188.77808,-235.63351,606.0
-184.10535,-236.01184,591.0
-183.48232,-237.27644,589.0
-182.85928,-238.52701,587.0
-188.50507,-222.95964,612.0
-188.50507,-225.10347,612.0
-184.8089,-224.89328,600.0
-185.11691,-227.3734,601.0
-185.42493,-229.86055,602.0
-182.34477,-234.3374,592.0
-181.72874,-235.6125,590.0
-180.8047,-236.47075,587.0
-180.18867,-237.71431,585.0
-179.57263,-238.94386,583.0
-185.14491,-221.50238,608.0
-185.14491,-223.6322,608.0
-182.40427,-222.42015,599.0
-182.40427,-224.51846,599.0
-182.09976,-226.23845,598.0
-181.79524,-227.9514,597.0
-179.05461,-234.81383,588.0
-178.14107,-235.66504,585.0
-177.83655,-237.30795,584.0
-177.22752,-238.53401,582.0
-176.31398,-239.33272,579.0
-182.41478,-218.65092,606.0
-182.11375,-220.40942,605.0
-181.81276,-222.16093,604.0
-180.60869,-222.79147,600.0
-179.70566,-223.76883,597.0
-179.40463,-225.48178,596.0
-179.10362,-227.18774,595.0
-175.79247,-231.17068,584.0
-175.49146,-232.81711,583.0
-175.19043,-234.4565,582.0
-174.88942,-236.08891,581.0
-173.98637,-236.89459,578.0
-173.68536,-238.506,577.0
-179.40114,-219.6808,603.0
-179.10362,-221.42531,602.0
-177.91356,-222.04884,598.0
-177.31853,-223.394,596.0
-176.7235,-224.72513,594.0
-176.7235,-226.80592,594.0
-176.12848,-228.11604,592.0
-174.93842,-228.63449,588.0
-174.04587,-229.51723,585.0
-173.74835,-231.17068,584.0
-173.15334,-232.41776,582.0
-172.85582,-234.05367,581.0
-172.26079,-235.27621,579.0
-171.96327,-236.89459,578.0
-171.66576,-238.506,577.0
-176.9965,-219.3165,602.0
-176.4085,-220.68967,600.0
-175.82045,-222.04884,598.0
-175.23242,-223.394,596.0
-174.6444,-224.72513,594.0
-174.35037,-226.4241,593.0
-173.76236,-227.73073,591.0
-172.5863,-228.24565,587.0
-171.70425,-229.12491,584.0
-171.11623,-230.37901,582.0
-170.82222,-232.01842,581.0
-170.23418,-233.24797,579.0
-169.94017,-234.86986,578.0
-169.64615,-236.48476,577.0
-169.35214,-238.09264,576.0
-174.88942,-217.20769,602.0
-174.5989,-218.9522,601.0
-174.01788,-220.32185,599.0
-173.43684,-221.6775,597.0
-172.85582,-223.01918,595.0
-172.27478,-224.34682,593.0
-171.98428,-226.04227,592.0
-171.69377,-227.73073,591.0
-171.11273,-229.02332,589.0
-169.95068,-229.51723,585.0
-169.36964,-230.77486,583.0
-168.78864,-232.01842,581.0
-167.91707,-232.84512,578.0
-167.62657,-234.4635,577.0
-167.04553,-235.66504,575.0
-166.46451,-236.85257,573.0
-172.7823,-219.3165,602.0
-172.20828,-220.68967,600.0
-171.06023,-221.3062,596.0
-170.48619,-222.64433,594.0
-169.91217,-223.96849,592.0
